,Brand,Price,Panel_Type,Display,Screen_Resolution,Brightness,Response_Time,Refresh_Rate
0,Frontech,"₹2,763",VA Panel,50.8 cm,HD,250 nits,3 ms,60 Hz
1,ZEBSTER,"₹2,699",VA Panel,50.8 cm,HD,400 nits,8 ms,60 Hz
2,Frontech,"₹2,089",VA Panel,43.18 cm,HD,250 nits,5 ms,60 Hz
3,MarQ,"₹7,499",VA Panel,68.58 cm,Full HD,300 nits,1 ms,100 Hz
4,Frontech,"₹3,499",VA Panel,55.88 cm,HD,250 nits,3 ms,60 Hz
5,MarQ,"₹5,099",VA Panel,55.88 cm,Full HD,300 nits,1 ms,100 Hz
6,MarQ,"₹7,999",IPS Panel,68.58 cm,Full HD,,1 ms,100 Hz
7,Acer,"₹5,799",IPS Panel,54.61 cm,Full HD,,1 ms,100 Hz
8,Frontech,"₹2,840",VA Panel,50.8 cm,HD,250 nits,5 ms,60 Hz
9,MarQ,"₹5,249",IPS Panel,55.88 cm,Full HD,,1 ms,100 Hz
10,Samsung,"₹9,099",IPS Panel,68.6 cm,Full HD,250 nits,5 ms,100 Hz
11,Acer,"₹6,649",IPS Panel,60.45 cm,Full HD,250 nits,1 ms,144 Hz
12,rionix,"₹2,525",TN Panel,48.26 cm,HD,250 nits,5 ms,60 Hz
13,Acer,"₹6,649",IPS Panel,60.45 cm,Full HD,250 nits,1 ms,120 Hz
14,Enter,"₹2,899",VA Panel,50.8 cm,HD,250 nits,5 ms,60 Hz
15,ZEBRONICS,"₹2,699",TN Panel,46.99 cm,HD,,8 ms,60 Hz
16,Acer,"₹6,299",IPS Panel,54.61 cm,Full HD,250 nits,1 ms,100 Hz
17,Frontech,"₹5,233",VA Panel,55.88 cm,Full HD,250 nits,5 ms,75 Hz
18,Acer,"₹5,695",VA Panel,54.61 cm,Full HD,250 nits,1 ms,100 Hz
19,Acer,"₹14,999",IPS Panel,68.58 cm,WQHD,250 nits,1 ms,180 Hz
20,Acer,"₹15,704",IPS Panel,68.58 cm,WQHD,350 nits,,180 Hz
21,ZEBSTER,"₹2,799",VA Panel,46.9 cm,HD,220 nits,5 ms,60 Hz
22,Frontech,"₹2,602",VA Panel,46.99 cm,HD,250 nits,5 ms,60 Hz
23,Samsung,"₹6,799",IPS Panel,55.88 cm,Full HD,250 nits,5 ms,100 Hz
24,MSI,"₹5,699",VA Panel,54.48 cm,Full HD,250 nits,1 ms,100 Hz
25,Frontech,"₹2,602",VA Panel,48.26 cm,HD,250 nits,5 ms,60 Hz
26,Frontech,"₹2,763",VA Panel,50.8 cm,HD,250 nits,3 ms,60 Hz
27,Frontech,"₹2,602",VA Panel,46.99 cm,HD,250 nits,5 ms,60 Hz
28,MarQ,"₹9,999",IPS Panel,81.28 cm,Full HD,280 nits,5 ms,75 Hz
29,DELL,"₹6,599",VA Panel,55.88 cm,Full HD,,5 ms,100 Hz
30,Acer,"₹12,299",IPS Panel,68.58 cm,WQHD,250 nits,1 ms,120 Hz
31,Samsung,"₹7,499",IPS Panel,60.4 cm,Full HD,250 nits,5 ms,100 Hz
32,Frontech,"₹6,599",VA Panel,60.96 cm,Full HD,250 nits,5 ms,100 Hz
33,BenQ,"₹8,250",IPS Panel,60.96 cm,Full HD,250 nits,5 ms,100 Hz
34,Acer,"₹5,895",IPS Panel,54.61 cm,Full HD,250 nits,1 ms,100 Hz
35,BenQ,"₹14,990",IPS Panel,68.58 cm,Quad HD,350 nits,5 ms,100 Hz
36,ZEBSTER,"₹2,595",VA Panel,46.99 cm,HD,220 nits,5 ms,60 Hz
37,BenQ,"₹10,498",IPS Panel,68.58 cm,Full HD,250 nits,5 ms,100 Hz
38,Acer,"₹11,589",IPS Panel,68.58 cm,Full HD,250 nits,,200 Hz
39,ZEBRONICS,"₹6,499",VA Panel,60.96 cm,Full HD,250 nits,12 ms,100 Hz
40,ZEBRONICS,"₹11,999",VA Panel,81.28 cm,Full HD,250 nits,8 ms,75 Hz
41,Acer,"₹14,999",IPS Panel,68.58 cm,WQHD,250 nits,1 ms,180 Hz
42,BenQ,"₹14,998",IPS Panel,60.96 cm,Full HD,250 nits,5 ms,100 Hz
43,ZEBSTER,"₹3,693",AHVA Panel,55.88 cm,Full HD,,5 ms,240 Hz
44,Acer,"₹9,499",IPS Panel,60.45 cm,Full HD,250 nits,,200 Hz
45,LG,"₹9,999",IPS Panel,60.96 cm,Full HD,240 nits,1 ms,180 Hz
46,Arzopa,"₹16,990",IPS Panel,40.89 cm,Full HD,500 nits,6 ms,144 Hz
